Day,P2P Buying Price (Rs),BTC Rate (USD),USD to LKR Price,BTC vs LKR,P2P Premium
2023-02-24,378.7,23935.77984,365.0,8736559.6416,13.699999999999989
2023-02-25,377.81,23179.72449,365.0,8460599.43885,12.810000000000002
2023-02-26,376.98,23153.84931,365.0,8451154.99815,11.980000000000018
2023-02-27,377.4,23559.11559,363.0,8551958.95917,14.399999999999977
2023-02-28,376.5,23478.14732,362.0,8499089.32984,14.5
2023-03-01,375.42,23143.36764,358.0,8285325.61512,17.420000000000016
2023-03-02,372.0,23629.11444,346.0,8175673.596240001,26.0
2023-03-03,367.9,23469.03067,339.5,7967735.912465,28.399999999999977
2023-03-04,350.97,22339.52211,339.5,7584267.756345,11.470000000000027
2023-03-05,344.47,22342.42679,339.5,7585253.895205,4.970000000000027
2023-03-06,344.8,22425.75399,339.5,7613543.4796050005,5.300000000000011
2023-03-07,339.7,22413.01317,322.5,7228196.747324999,17.19999999999999
2023-03-08,325.73,,322.5,,3.230000000000018
2023-03-09,321.73,,322.5,,-0.7699999999999818
2023-03-10,344.0,,320.0,,24.0
2023-03-11,336.49,,320.0,,16.49000000000001
2023-03-12,335.0,,320.0,,15.0
2023-03-13,336.0,,327.5,,8.5
2023-03-14,334.7,24605.15986,335.0,8242728.5531,-0.30000000000001137
2023-03-15,334.7,24693.1668,335.0,8272210.878,-0.30000000000001137
2023-03-16,334.7,24276.48914,337.0,8181176.84018,-2.3000000000000114
2023-03-17,334.7,24996.41046,336.0,8398793.91456,-1.3000000000000114
2023-03-18,334.7,27380.75309,336.0,9199933.038239999,-1.3000000000000114
2023-03-19,334.7,26916.92909,336.0,9044088.17424,-1.3000000000000114
2023-03-20,334.7,27969.82395,340.0,9509740.143000001,-5.300000000000011
2023-03-21,334.7,27716.96756,320.0,8869429.6192,14.699999999999989
2023-03-22,334.7,,319.5,,15.199999999999989
2023-03-23,334.7,,318.0,,16.69999999999999
2023-03-24,334.7,,320.0,,14.699999999999989
2023-03-25,334.7,,320.0,,14.699999999999989
2023-03-26,334.7,,320.0,,14.699999999999989
2023-03-27,334.7,,322.5,,12.199999999999989
2023-03-28,334.7,27444.38628,324.5,8905703.34786,10.199999999999989
2023-03-29,334.7,27268.56158,325.0,8862282.513500001,9.699999999999989
2023-03-30,334.7,28353.7942,325.0,9214983.115,9.699999999999989
2023-03-31,334.7,28033.04966,324.0,9082708.08984,10.699999999999989
2023-04-01,334.7,28465.91201,324.0,9222955.49124,10.699999999999989
2023-04-02,334.7,28453.51856,324.0,9218940.01344,10.699999999999989
2023-04-03,334.7,28171.96304,323.0,9099544.06192,11.699999999999989
2023-04-04,334.7,27801.6996,322.5,8966048.121,12.199999999999989
2023-04-05,334.7,28165.43449,322.5,9083352.623025,12.199999999999989
2023-04-06,334.7,28171.05813,320.0,9014738.6016,14.699999999999989
2023-04-07,334.7,28033.50216,320.0,8970720.6912,14.699999999999989
2023-04-08,334.7,27905.99379,320.0,8929918.0128,14.699999999999989
2023-04-09,334.7,27938.38671,320.0,8940283.7472,14.699999999999989
2023-04-10,334.7,28322.89553,318.0,9006680.77854,16.69999999999999
2023-04-11,334.7,29638.16818,319.0,9454575.64942,15.699999999999989
2023-04-12,334.7,30199.88257,319.0,9633762.539830001,15.699999999999989
2023-04-13,334.7,29888.75413,319.0,9534512.567470001,15.699999999999989
2023-04-14,334.7,30375.10374,319.0,9689658.09306,15.699999999999989
2023-04-15,334.7,30465.51817,319.0,9718500.29623,15.699999999999989
2023-04-16,334.7,30294.60965,319.0,9663980.478349999,15.699999999999989
2023-04-17,334.7,30305.21052,319.0,9667362.15588,15.699999999999989
2023-04-18,334.7,29430.51079,318.0,9358902.43122,16.69999999999999
2023-04-19,334.7,30379.65882,318.5,9675921.33417,16.19999999999999
2023-04-20,334.7,28799.07914,318.0,9158107.166520001,16.69999999999999
2023-04-21,334.7,28243.33667,318.0,8981381.06106,16.69999999999999
2023-04-22,334.7,27262.22693,318.0,8669388.16374,16.69999999999999
2023-04-23,334.7,27815.85511,318.0,8845441.92498,16.69999999999999
2023-04-24,334.7,27590.80948,320.0,8829059.0336,14.699999999999989
2023-04-25,334.7,27513.93128,321.5,8845728.90652,13.199999999999989
2023-04-26,334.7,28299.99492,320.0,9055998.374400001,14.699999999999989
2023-04-27,334.7,28415.39777,320.0,9092927.2864,14.699999999999989
2023-04-28,334.7,29473.44967,320.0,9431503.8944,14.699999999999989
2023-04-29,334.7,29313.21666,320.0,9380229.3312,14.699999999999989
2023-04-30,334.7,29230.09482,320.0,9353630.3424,14.699999999999989
2023-05-01,334.7,29233.04272,320.0,9354573.670400001,14.699999999999989
2023-05-02,334.7,28069.69765,320.0,8982303.248,14.699999999999989
2023-05-03,334.7,28667.81803,319.5,9159367.860585,15.199999999999989
2023-05-04,334.7,29027.68919,319.0,9259832.851610001,15.699999999999989
2023-05-05,334.7,28839.53763,319.0,9199812.503969999,15.699999999999989
2023-05-06,334.7,29505.22728,319.0,9412167.502319999,15.699999999999989
2023-05-07,334.7,28848.47328,319.0,9202662.97632,15.699999999999989
2023-05-08,334.7,28430.28874,318.0,9040831.81932,16.69999999999999
2023-05-09,334.7,27668.85355,317.0,8771026.57535,17.69999999999999
